id,name,town,id_nummer,nb_employees,nb_employees_with_degree,address,method,year_of_reference,foundation_year,assets,profits,director,share_of_total_capital,status,date,contact,buying_price 1,buying_price 2,buyer_city,buyer,date_sale,surface_building,surface_for_devt,capital_on_sale 1,capital_on_sale 2,surface_agri,date_calls
598,BRATSTVO JEDINSTVO DPP,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,
604,PRVI MAJ,Raška,7597053,122,6,Vlasova bb,Bankruptcy,2010,1991,74925,0,,"70,00%",Contract terminated,,,,,,,,,,,,,
605,PROMET,Beograd,7057415,323,1,Terazije 34 / Pazinska 6,Bankruptcy,2010,1976,188522,0,,"69,60%",,,,,,,,,,,,,,
606,ŽITOSREM,Inđija,8014566,-,-,Vojvode Putnika 2,Capital Market,2010,0,873175,67496,,,,10.June 2002.,,,,,,,,,,,,
607,VDP JUŽNI BANAT,,,,,,,2010</td><td>2011,,,,,,Canceled privatization,,,,,,,,,,,,,
611,KOLOR,Arilje,17128663,138,-,Svetolika Lazarevića 22,Bankruptcy,2010,1960,95855,0,,,,,,,,,,,,,,,,
612,SOMBORGRANIT,Sombor,8245410,15,1,Karađorđeva 10,Bankruptcy,,1972,,,,"70,00%",,,,,,,,,,,,,,
614,"Stečajna masa ""TEHNOS""",Čačak,7182376,318,9,Nikole Tesle 42,Bankruptcy,2010,1951,67996,99,,"59,10%",,,,,,,,,,,,,,
615,REFORM,Kanjiža,8046166,65,2,Put Narodnih heroja 1,Bankruptcy,2010,1954,46250,15552,,"70,00%",,,,,,,,,,,,,,
616,UTP PUTNIK PRIJEPOLjE,Prijepolje,17123149,58,1,Novovaroška bb,Bankruptcy,,1997,,,,"69,90%",,,,,,,,,,,,,,
617,Stečajna masa LEVAČ ad,Rekovac,7348193,66,5,Glavna 115,Bankruptcy,,1952,,,,"69,47%",,,,,,,,,,,,,,
618,FABRIKA KABLOVA ZAJEČAR FKZ,Zaječar,7147350,1093,87,Negotinski put b.b.,Tender,,1974,,,Dragan Cvetković,,Sold,21.June 2002.,Dragan Cvetković,50000000,RSD (converted),"CYPRUS, Nicosia",East Point Holdings limited,02.December 2003.,,,,,,06.June 2003.
619,DIV,Vranje,7178972,568,38,Stefana Prvovenčanog 209,Tender,2010,1885,12262489,0,Mile Stevanović,,Sold,26.June 2002.,Stanimir Jevtić,5000000000,RSD (converted),"SERBIA, Beograd",BRITISH AMERICAN TOBACCO,03.September 2003.,,,,,,04.April 2003.
625,RAZVITAK,Donje Brijanje,7334796,35,-,"Donje Brijanje,Leskovac",Bankruptcy,,1984,,,,,,,,,,,,,,,,,,
627,JASTREBAC-FABRIKA PUMPI,Niš,7133871,410,59,Bulevar 12.februara 82,Capital Market,2010,1914,642051,0,Zoran Đinđić,,Contract terminated,24.June 2002.,Zoran Đinđić,,,,,,,84976,,,,
628,PLITVICE,Beograd,7028024,180,5,Vjekoslava Kovača 20,Bankruptcy,,1957,,,,,,,,,,,,,,,,,,
635,POREČJE,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,02.September 2010.
636,POLjOPROMET,Kraljevo,7144393,115,6,Olge Jovičić 6,Capital Market,2010,1960,113784,0,Novak Lutovac,,Contract terminated,25.June 2002.,Brane Stevanović,,,,,,,13759,,,,
637,DOMAĆA RADINOST,Leskovac,7196091,8,1,Voje Nikolajevića bb,Bankruptcy,2010,1966,69200,0,,"70,00%",,,,,,,,,,,,,,
642,MIMOZA,Beograd,7051212,37,2,Srpskih Vladara 60,Bankruptcy,,1954,,,,,,,,,,,,,,,,,,
644,KOMPANIJA KABLAR,Kraljevo,17037528,608,16,Cara Dušana 47,,2010,1995,64,0,Rade Miladinović,"57,00%",,14.October 2002.,Rade Miladinović,,,,,,11204,,,,,
645,Morava u stečaju / MORAVA IGM Leskovac nekad,Požarevac,17120085,183,6,"Kralja Petra I br 110 / Jug Bogdana 1/a, Požareva",Capital Market,,1997,,,Tomislav Cvetković,,Contract terminated,02.July 2002.,Tomislav Cvetković,,,,,,20500,,,,,
646,RAŠKA / OKTAN PRO,Novi Pazar,7191537,278,5,Dimitrija Tucovića bb,Bankruptcy,,1947,,,,"70,00%",,,,,,,,,,,19205000,RSD,,
649,ALFA-PLAM,Vranje,7137923,-,-,Radnička 1,Capital Market,2010,,4224112,457108,,,,,,,,,,,,,,,,
650,GEODETSKI BIRO,Niš,7133693,12,2,Ćirila i Metodija 17,Capital Market,,1972,,,Petar Momčilović,"70,00%",Contract terminated,19.November 2003.,Petar Momčilović,,,,,,,91,,,,
655,MIKROMETAL / BTS MIKROMETAL AD,Novi Sad,8574537,4,-,Gagarinova 16,Capital Market,2010,1993,3101,0,Čedo Stanić,"70,00%",Contract terminated,05.July 2002.,Čedo Stanić,,,,,,92,,,,,
656,PANONIJA GRADNjA,Žabalj,8121877,1,-,Nikole Tesle 139,Bankruptcy,,1989,,,,"70,00%",,,,,,,,,,,,,,
657,VAGAR,Subotica,8065578,10,-,Ivana Antunovića 70,Capital Market,2010,1963,2427,0,,"70,00%",Contract terminated,05.July 2002.,,,,,,,211,,,,,
658,TEHNIKA PLUS,Novi Sad,8586063,6,1,Stjepan Mitrov Ljubiše 7,Bankruptcy,2010,1994,13748,0,,"56,40%",,,,,,,,,,,,,,
661,AUTOTRADING PAN,,,,,,,2009</td><td>2010,,,,,,Canceled privatization,,,,,,,,,,,,,
663,ŽITOMLIN,Beograd,7057474,-,-,Francuska 6,Capital Market,,,,,,,,01.July 2002.,,,,,,,,,,,,
665,BEOGRADSKA PEKARSKA INDUSTRIJA,Beograd,7057547,1324,57,Južni bulevar 112,Tender,2010,1990,2258098,0,Boško Vidojević,,Sold,19.July 2002.,Boško Vidojević,200000000,RSD (converted),"CYPRUS, Nicosia",East Point Holdings Limited (Konzorcijum) - BPI (Beograd),09.October 2006.,,,,,,14.March 2003.
666,EKO-HRANA,Boljevac,17032151,6,-,Ivka Đolovića 2,Bankruptcy,2010,1999,21407,0,,,,,,,,,,,,,,,,
668,GRADNjA-KLADOVO,Kladovo,7260814,141,2,Dunavska 34,Capital Market,2010,1989,6468,0,Dušan Stanisavljević,,Contract terminated,10.July 2002.,Dušan Stanisavljević,,,,,,,35164,,,23584,
670,TOMA KOSTIĆ -TOMAKO,Leskovac,7277954,296,20,Tekstilna 97,Capital Market,,1990,,,Milovan Gojović,,Contract terminated,02.July 2002.,Milovan Gojović,,,,,,,21708,,,,
671,BALKAN,Dimitrovgrad,7133111,182,5,Balkanska 41,Bankruptcy,2010,1948,113264,0,,,Contract terminated,,,,,,,,,,,,,
672,VRELO GP,Bela Palanka,7211805,52,3,Obilićeva bb,Bankruptcy,,1971,,,,,,,,,,,,,,,,,,
673,JEDINSTVO,Bač,8574723,96,1,JNA 133,Bankruptcy,,1958,,,,,,,,,,,,,,,,,,
674,DP KLUZ -  u stečaju,Beograd,7021372,-,-,Mite Ružića 8,Bankruptcy,2010,,4152556,0,,,,,,,,,,,,,,,,
675,STANDARD KONFEKCIJA,Petrovaradin,8265178,32,1,Koste Nađa 1,Bankruptcy,,1998,,,,"70,00%",,,,,,,,,,,,,,
682,VRANjE,,,,,,,,,,,,,,,,,,,,,,,,,,
684,RADNIK,Pirot,7131437,27,-,22.divizije 12a,Capital Market,,1962,,,,,Contract terminated,04.July 2002.,,,,,,,,31333,,,,
686,JABLANICA GP,Valjevo,7136480,414,7,Prote Mateje 1,Capital Market,2010,1946,205107,0,Mile Pirgić,,Contract terminated,04.July 2002.,Milka Selaković,,,,,,9127,65590,,,15868,
688,PALANAČKI KISELjAK,Smederevska Palanka,7163835,-,-,Vojska Jugoslavije 2,Capital Market,2010,,496670,0,,,,,,,,,,,,,,,,
689,JEDINSTVO,Belo Blato,8000654,-,-,Ive Lole Ribara 19,Capital Market,2010,,67106,0,,,,,,,,,,,,,,,,
690,CENTROPROIZVOD,Surčin,7040580,-,-,Dobanovački put bb,Capital Market,2010,,4389263,128680,,,,,,,,,,,,,,,,
692,OBUĆA-ZLATAR PDS,Nova Varoš,7274408,523,8,,Bankruptcy,,1959,,,,,,,,,,,,,,,,,,
693,Stečajna masa GIP ZIDAR,Loznica,7121563,560,32,Republike srpske bb,Bankruptcy,2010,1954,227505,0,,,,,,,,,,,,,,,,
694,SRBIJANKA,Leskovac,7196580,150,6,Viljema Pušmana 3,Bankruptcy,,1949,,,,,,,,,,,,,,,,,,
695,ISHRANA,Aleksinac,7327595,47,1,Petra Zeca 37,Capital Market,,1983,,,Žarko Savičić,,Contract terminated,10.July 2002.,Vedrana Đorđević,,,,,,,,,,,
699,KRIVAJA,Krivaja,8548137,-,-,Nikole Tesle 7,Capital Market,,,,,,,,24.July 2002.,,,,,,,,,,,,
701,LISCA,Babušnica,7592230,-,-,Z. Nikolića bb / Ž.Nikolića 83,Capital Market,2010,,105264,997,,,,05.July 2002.,,,,,,,,,,,,
703,PANČEVO / LIVEKS,Pančevo,8006237,12,-,Skadarska 75,Capital Market,2010,1978,26951,0,Željko Čudić,,Contract terminated,05.July 2002.,Mira Kurjega,,,,,,,,,,,
704,MAŠINOKOMERC,Beograd,7024533,-,-,Knez Mihajlova 1-3,Capital Market,2010,,265593,0,,,,05.July 2002.,,,,,,,,,,,,
705,UNIFARM,Šabac,7400705,-,-,Vojvode Putnika 52,Capital Market,2010,,6368,0,,,,05.July 2002.,,,,,,,,,,,,
711,SLOGA A.D. Beograd,Beograd,7008996,37,2,Šafarikova 4a,Bankruptcy,,1946,,,,"69,00%",,,,,,,,,,,,,,
714,ZATEKS,Gadžin Han,7314388,102,2,Miloša Obilića 115,Bankruptcy,2010,1983,132682,352,,,Contract terminated,,,,,,,,,,,,,
716,VF HOLDING,Beograd,7026595,41,6,Cvetna 4,Bankruptcy,,1966,,,,,,,,,,,,,,,,,,
718,"DP ""DRVOPRODUKT-RADIĆ""",Krupanj,17253697,46,2,Vlade Zečevića 154,Bankruptcy,,1999,,,,"70,00%",,,,,,,,,,,,,,
719,SOKO,Lučani,7152060,44,3,Radnička 6,Capital Market,,1952,,,Snežana Raičević,,Contract terminated,24.July 2002.,Snežana Raičević,,,,,,,,,,,
724,NARODNA LUTRIJA-TRGOVINA,Požarevac,17265091,-,-,Njegoševa 2,Bankruptcy,,,,,,,,,,,,,,,,,,,,
725,NOVI SAD-GAS,,,,,,,2010</td><td>2011,,,,,,,,,,,,,,,,,,,
728,USLUGA,Aleksandrovac,7325142,67,3,Omladinska bb,Bankruptcy,,1986,,,,"70,00%",,,,,,,,,,,,,,
731,NIKROOPREMA,Paraćin,7112882,84,-,Vidovdanska 2,Bankruptcy,2010,1948,49897,0,,,,,,,,,,,,,,,,
734,ENERGETIKA I ODRŽAVANjE DOO ZEMUN,,,,,,,,,,,,,Canceled privatization,,,,,,,,,,,,,
735,BUDUĆNOST,Bela Palanka,7106467,217,8,Srpskih Vladara 105 a,Bankruptcy,,1955,,,,,Contract terminated,,,,,,,,,,,,,
736,JP SVC VELIKA PLANA,Velika Plana,7142684,37,5,28. Oktobra br.28,Auction,2010,1957,98040,3662,Miroslav Marinković,"70,00%",Canceled privatization,11.July 2002.,Vera Lukić,,,,,,,46304,,,,
737,NAUČNI INSTITUT TEMERIN,Temerin,8521387,27,9,Industrijska zona bb,Auction,,1953,,,Prof. dr Spasoje Veselinović,"70,00%",Canceled privatization,09.December 2006.,Petar Krstić,,,,,,,,,,484222,
738,GENERALEKSPORT,,,,,,,2010</td><td>2011,,,,,,,,,,,,,,,,,,,
740,MORAVA IGM,Žitkovac,7107064,120,3,Žitkovački put bb,Bankruptcy,2010,1948,1,0,,,,,,,,,,,,,,,,
741,SRBIJA,Kraljevo,7152906,267,3,Milana Toplice 1,Capital Market,2010,1947,581856,927,Drinka Lukić,"70,00%",Contract terminated,29.August 2002.,Drinka Lukić,,,,,,,,,,,
742,GRADINA,Užice,7223595,242,10,Banjička bb,Capital Market,2010,1946,439195,9762,Zoran Laudanović,"66,48%",Contract terminated,03.December 2002.,Predrag Kaljević,,,,,,30031,32494,352723800,RSD,21182,
743,SAVREMENI DOM,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,
744,DOLOVO DPP,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,
745,MORAVA,Beograd,7011652,48,-,Narodnog fronta 70-Kraljice Natalije 70,Capital Market,,1954,,,Vlade Jakšić,"70,00%",Contract terminated,12.July 2002.,Vlade Jakšić,,,,,,,,,,,
749,KUĆNA RADINOST,Temerin,8071918,80,-,Partizanska bb,Bankruptcy,,1964,,,,"70,00%",,,,,,,,,,,,,,
750,ŽITOMLIN,Jagodina,7126034,120,6,Ribarska 42,Bankruptcy,2010,,262802,5658,,"70,00%",Contract terminated,,,,,,,,,,,,,
752,PROMET,Veliko Gradište,7327030,92,-,Kneza Lazara 48,Bankruptcy,,2001,,,,"67,80%",,,,,,,,,,,,,,
755,JUGOSLAVIJA PROMET,Beograd,7022140,-,-,Čika Ljubina 1,Capital Market,2010,,174404,30880,,,,19.August 2002.,,,,,,,,,,,,
757,VINARSKA - PODRUMI,Vlasotince,7106114,43,4,Marka Oreškovića 52,Bankruptcy,,1924,,,,"70,00%",,,,,,,,,,,,,,
759,NjEGOŠEVO,Njegoševo,8056803,2,2,Nikole Tesle 11,Bankruptcy,,,,,,"70,00%",,,,,,,,,,,,,,
760,CENTROPROMET,Šid,8167591,90,3,Karađorđeva 76,Bankruptcy,2010,1959,296334,0,,"69,30%",Contract terminated,,,,,,,,,,,,,
764,MLINPEK,Knjaževac,7201753,54,4,Ivo Lole Ribara 24,Capital Market,2010,1950,4117,0,Radenković Saša,,Contract terminated,19.August 2002.,Radenković Saša,,,,,,,146,,,3213,
768,PIK ZEMUN u restrukturiranju,,,,,,,2010</td><td>2011,,,,,,Canceled privatization,,,,,,,,,,,,,
771,ANGROKOLONIJAL DTP,Aleksinac,7187572,204,5,Knjaza Miloša 20,Bankruptcy,2010,1958,97273,0,,"68,90%",,,,,,,,,,,,,,
774,ZAJEČAR PROMET,Zaječar,7277857,61,3,Čupićeva 61,Bankruptcy,2010,1979,213850,0,,"68,00%",,,,,,,,,,,,,,
775,ZAVARIVAČ / SZP ZAVARIVAČ ad Vranje u restrukturiranju,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,09.May 2008.
776,INVEST-IMPORT,Beograd,7049528,-,-,Terazije 5,Capital Market,,,,,,,,,,,,,,,,,,,,
784,TRUDBENIK,Stari Lec,8121923,51,2,"Salaš Jagodić, 23253 Konak",Bankruptcy,,1989,,,,"70,00%",,,,,,,,,,,,,,
790,TAMIŠ HLADNjAČA,Pančevo,8112207,49,1,Novoseljanski put bb,Bankruptcy,2010,1976,115417,0,,"70,00%",,,,,,,,,,,57847930,RSD,,
791,"AD ""AUTOTRANSPORTNO""u stečaju",Pirot,7172281,376,11,Nikole Pašića bb,Bankruptcy,2010,1956,4209,0,,,Contract terminated,,,,,,,,,,,,,
792,JUGOPREVOZ,Jagodina,7289545,537,5,Marka Kraljevića bb,Bankruptcy,2010,1949,619446,836,,,,,,,,,,,,,,,,
794,NOVI DOM-STOLARIJA,Debeljača,8249202,76,1,Svetozara Markovića 62,Bankruptcy,2010,1946,86541,0,,"69,90%",,,,,,,,,,,,,,
796,MONTER - ELEKTROMONTAŽA,Niš,7245670,53,1,Šumadijska br.4,Capital Market,,1947,,,,"70,00%",Contract terminated,04.September 2002.,,,,,,,,,,,,
800,TEHNOHEMIJA,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,
803,EČKA-RIBARSKO GAZDINSTVO,Lukino Selo,8062595,-,-,Lukino Selo,Capital Market,2010,,1713423,7835,,,,,,,,,,,,,,,,
804,PARTIZANKA,Čačak,17280058,208,2,Kosovski venac 2,,,2000,,,Veroljub Bogojević,"67,60%",,23.September 2003.,Veroljub Bogojević,,,,,,,6489,,,,
805,MOTEL TAKOVO I TAKOVO TRANSPORT,Beograd,17205935,-,-,Pančevački put 20,Capital Market,2010,,22469,0,MIHAILO SUBOTIĆ,,,,,,,,,,,,,,,
811,Mlin Budućnost,Titel,8256101,55,2,Glavna 73,Bankruptcy,2010,1881,1590,0,,"70,00%",,,,,,,,,,,5078850,RSD,,
812,Stečajna masa FROTEKS TP,Užice,7157487,325,10,Mališe Atanackovića 3,Bankruptcy,,1898,,,,"61,90%",,,,,,,,,,,,,,
814,PANČEVO,Pančevo,8006105,286,-,Skadarska 73,Bankruptcy,,1955,,,,,,,,,,,,,,,,,,
815,BEOGRAD PUT,Beograd,7023332,-,-,Dositejeva 21,,2010,,5916569,88411,,,,,,,,,,,,,,,,
819,BAČKA,,,,,,,2009</td><td>2010,,,,,,Contract terminated,,,,,,,,,,,,,
825,PARTIZAN PREHRANA,Čačak,17280074,172,2,Bulevar oslobođenja 17,Bankruptcy,,2000,,,,"66,45%",,,,,,,,,,,69770639,RSD,,
827,PIK NIŠ,Niš,7212003,230,13,Obilićev venac br.85,Bankruptcy,2010,1989,111486,133,,"70,00%",,,,,,,,,,,35429450,RSD,,
833,PREVOZ,Smederevska Palanka,7604408,34,-,Njegoševa 10,Bankruptcy,2010,1961,64313,0,,"70,00%",,,,,,,,,,,,,,
837,ŠUMADIJA,Paraćin,7115776,-,-,Vidovdanska 6,Capital Market,2010,,66541,0,Slobodan Atanasković,,,22.July 2002.,,,,,,,,,,,,
839,NOVI PAZAR-PUT / PUTEVI UŽICE,Novi Pazar,7195303,437,22,Šabana Koče 67,Tender,2010,1961,1553571,90564,Izet Ljajić,"68,80%",Sold,19.August 2002.,Iso Dolovac,155000000,RSD (converted),"SERBIA, Užice","PUTEVI AD, Užice",12.January 2004.,,51514,,,,25.June 2003.
840,AGRO-FRUT KARLOVČIĆ,Karlovčić,8754969,4,-,Špajanska 1,Bankruptcy,,2002,,,,"70,00%",,,,,,,,,,,,,,
841,FABRIKA KOŽE UŽICE,Užice,17296698,230,-,Ulica Vrela bb,Bankruptcy,2010,1928,179588,0,,,Contract terminated,,,,,,,,,,,,,
842,DP JUGOKOOP EKSPORT - IMPORT,Bujanovac,7319339,83,3,Industrijska zona bb,Bankruptcy,,1982,,,,"70,00%",,,,,,,,,,,,,,
843,INOS KRUŠEVAC /  Eco-Inos / Eko-Inos,Kruševac,7307438,100,3,Jasička bb,Capital Market,2010,1951,142445,0,Dragan Radonjić,"70,00%",Contract terminated,25.November 2002.,,,,,,,3166,35859,,,,
844,NAPREDAK / KULINA PLAST,Ratkovo,8063745,117,2,Odžački put bb,Capital Market,,,,,Đura Todorović,"70,00%",Contract terminated,19.August 2002.,Đura Todorović,,,,,,,,,,,
845,JRB,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,30.June 2008.
850,25. MAJ CFKOO,Beograd,7024126,84,13,Tadeuša Košćuška 63,Bankruptcy,,1974,,,,,,,,,,,,,,,,,,
851,DRINA,Loznica,17030680,565,10,Kneza Miloša 15,Bankruptcy,,1948,,,,"70,00%",Contract terminated,,,,,,,,,,101125220,RSD,,
852,STIL MK,Odžaci,8008230,115,1,Lole Ribara bb,Bankruptcy,,1946,,,,,,,,,,,,,,,,,,
854,PROSVETA,Niš,7173806,308,12,Vojvode Gojka 14,Bankruptcy,,1955,,,,"70,00%",Contract terminated,,,,,,,,,,,,,
855,Stečajna masa VOĆAR-PRODUKT PDP,Guča,7146337,154,9,Prvomajska 9,Bankruptcy,2010,1970,167484,0,,"70,00%",,,,,,,,,,,,,,
856,PARTIZAN-METALPROMET,Čačak,17280066,156,7,Bulevar oslobođenja 17,Bankruptcy,,2000,,,,"67,12%",,,,,,,,,,,,,,
860,PROGRES,Zaječar,7203187,92,3,Moše Pijade 11,Bankruptcy,,1990,,,,"70,00%",,,,,,,,,,,,,,
866,BORA MARKOVIĆ,Zabrežje,7042434,322,11,Radnička 4,Bankruptcy,,1903,,,,,,,,,,,,,,,,,,
869,PREHRANA DTP,Sremska Mitrovica,8497273,51,1,Ćire Milekića 18,Capital Market,2010,1961,57651,0,,"70,00%",Contract terminated,11.October 2002.,,,,,,,4265,,,,,
870,JANKO LISJAK,,,,,,,2009</td><td>2010,,,,,,,,,,,,,,,,,,,01.October 2007.
872,POLjOPRIVREDNO DOBRO ZAJEČAR,Zaječar,7183402,-,-,Kumanovska 15,Capital Market,2010,,654101,30049,Svetislav Stojanović,,,,,,,,,,,,,,,
874,AUTOSERVIS,Čačak,6379028,73,2,Milutina Mandića 2,Capital Market,2010,1993,132249,131,Slavko Majstorović,"70,00%",Contract terminated,17.February 2003.,Slavko Majstorović,,,,,,,,,,,
875,"ADGP MLADOST /  'Mladost', Ćuprija nekad",Beograd,7166630,180,3,Kneza Miloša bb,Bankruptcy,,1952,,,,"39,70%",Contract terminated,,,,,,,,,,71966929,RSD,,
881,RASADNIK,Kikinda,8177520,27,2,Branka Vujina 11,,,1990,,,,,Contract terminated,03.July 2002.,,,,,,,,1211972,,,69922,
889,AGROSERVIS,Kikinda,8582386,63,1,Miloša Velikog 83/a,Bankruptcy,,1957,,,,,,,,,,,,,,,,,,
890,TEHNOHEMIJA,Sremska Mitrovica,8497265,4,1,Svetog Save 17,Capital Market,2010,2000,174719,0,v.d. Đurđica Pejović,"70,00%",Contract terminated,11.October 2002.,v.d. Đurđica Pejović,,,,,,3162,26771,,,,
893,GROT,Vranje,17288261,269,10,Nemanjina 83 / Kriva Feja,Bankruptcy,,2000,,,,"70,00%",Canceled privatization,,,,,,,,,,,,,
895,JUGOPREVOZ-PARAĆIN SP,Paraćin,7345712,135,3,Maksima Gorkog bb,Capital Market,,1989,,,Milan Ilić,"70,00%",Contract terminated,19.September 2002.,Milan Ilić,,,,,,621,,,,,
898,NOVO DOBA,Stara Pazova,8011044,106,3,Zmaj Jovina 1,Bankruptcy,2010,1951,222637,0,,"66,40%",,,,,,,,,,,,,,
900,KOMPANIJA DUNAV OSIGURANjE,Beograd,7046898,-,-,Makedonska 4,,,,,,Dimitrije Stamenović,,,,,,,,,,,,,,,
902,15. MAJ EKSPORTEKS,Lebane,7186363,1144,9,19. Avgusta bb,Bankruptcy,,1961,,,,"70,00%",,,,,,,,,,,43283660,RSD,,
903,LIVNICA POBEDA,Beograd,7030380,55,2,Bul. Kralja Aleksandra 435,Bankruptcy,,1960,,,,"70,00%",Contract terminated,,,,,,,,,,,,,
904,NOVI KOLEKTIV,Beograd,7020643,84,2,Narodnih heroja 30,Capital Market,2010,1964,223306,0,Sinadin Marković,"70,00%",Contract terminated,03.December 2002.,Sinadin Marković,,,,,,8646,38264,,,,
907,ZASTAVA BEZBEDNOST,,,,,,,2010</td><td>2011,,,,,,,,,,,,,,,,,,,
916,RAJAC DTP,Ljig,7248164,39,-,Bulevar Vojvode Mišića 8,Bankruptcy,,1945,,,,"70,00%",,,,,,,,,,,,,,
917,DES,,,,,,,2010</td><td>2011,,,,,,,,,,,,,,,,,,,
918,MODA,Veliko Gradište,7163827,166,5,Požarevački put bb,Bankruptcy,2010,1947,226442,0,,,,,,,,,,,,,,,,
919,AGROBANKA,Beograd,7564856,-,-,Sremska 3,,,,,,,,,,,,,,,,,,,,,
920,POLjOTEHNA,Negotin,17261673,237,7,Pikijeva bb / Trg Stevana Mokranjca 2-4,Bankruptcy,2010,1999,296740,0,,"70,00%",,,,,,,,,,,,,,
921,FOND INEKS-INTEREKSPORT,,,,,,,2010</td><td>2011,,,,,,,,,43560000,RSD (converted),,,,,,,,,
922,SPIK,Beograd,7813929,26,5,Bulevar Vojvode Mišića 37,Capital Market,,1992,,,Milan Kostić,"51,00%",Contract terminated,06.October 2003.,Milan Kostić,,,,,,,,,,,
924,MLEKARA MLADOST,Kragujevac,7150512,149,10,Save Kovačevića 58,Capital Market,2010,1954,482717,4278,Dragan Vujić,"70,00%",Contract terminated,27.December 2002.,Dragan Vujić,,,,,,3463,20980,,,,
926,MLEKARA,Lajkovac,17112937,134,7,Beogradski put 37,Bankruptcy,,1982,,,,,,,,,,,,,,,,,,
927,SVETLOST,Kula,8099570,2,1,Njegoševa 3,Bankruptcy,2010,1966,1584,0,,,Contract terminated,,,,,,,,,,,,,
930,PČINjA,Trgovište,7205040,10,-,Lenjinova br.1,Bankruptcy,,1946,,,,"70,00%",,,,,,,,,,,,,,
934,TOPOLA AD,Banatska Topola,8021856,-,-,Kikindska 25,Capital Market,2010,1946,724411,0,,"70,00%",,,,,,,,,10500,45117,,,,
936,INEKS TREJD,,,,,,,2010</td><td>2011,,,,,,,,,,,,,,,,,,,
939,21. OKTOBAR-u restrukturiranju,,,,,,,2010</td><td>2011,,,,,,,,,,,,,,,,,,,
941,AIP NjEGOŠ,Lovćenac,8051046,289,9,Maršala Tita 42,Bankruptcy,2010,1948,665986,53716,,"70,00%",,,,,,,,,,,,,,
942,DLS PANONIJA,Beograd,17134370,-,-,Savski trg 9,Bankruptcy,,,,,,,,,,,,,,,,,,,,
945,UNION MLIN,Sivac,8004307,84,6,M. Tita 95,Capital Market,2010,1906,434128,0,Đuro Kukić,"70,00%",Contract terminated,19.August 2002.,Đuro Kukić,,,,,,,44418,22959930,RSD,,
946,GORNjA RESAVA,Despotovac,7126611,48,-,Despota Stefana br.7,Bankruptcy,2010,1946,71999,0,,"70,00%",Contract terminated,,,,,,,,,,,,,
947,TRGOVINSKO BANAT,Zrenjanin,8111367,331,3,Gundulićeva 1,Bankruptcy,2010,1953,511360,0,,"55,20%",,,,,,,,,,,,,,
948,DOŽA ĐERĐ,Bačka Topola,8056757,148,7,Salaš 291,Capital Market,2010,1946,916487,13961,,"70,00%",Contract terminated,07.July 2004.,,,,,,,1799,270354,,,17089303,
950,DPP MAČVA,Šabac,7171463,33,6,Loznički put bb,Bankruptcy,2010,1948,9520,0,,,,,,,,,,,,,,,,
951,C MARKET,,,,,,,2010</td><td>2011,,,,,,,,,,,,,,,,,,,10.August 2012.
952,ATP VOJVODINA,Novi Sad,8041750,349,11,Put novosadskog partizanskog odreda 1a,Capital Market,,1945,,,Zdravko Čukić,"70,00%",Contract terminated,12.February 2003.,Zdravko Čukić,,,,,,20771,1278,,,,
955,IZGRADNjA,Boljevac,7622147,27,1,Kučajska 2,Bankruptcy,,1991,,,,"70,00%",,,,,,,,,,,,,,
960,MINELPO,Beograd,7071434,19,-,Zemunska 47,Capital Market,,1989,,,,"62,20%",Contract terminated,08.November 2002.,,,,,,,,17543,,,,
962,MEBLO HOLDING,Stara Moravica,8032246,38,-,Somborski put bb,Bankruptcy,,1961,,,,"69,60%",,,,,,,,,,,,,,
963,UMETNOST IN,Bačka Topola,8032254,243,8,Mlinska 5,Bankruptcy,2010,1948,320196,0,,"70,00%",Contract terminated,,,,,,,,,,,,,
965,PRIGREVICA PIK / SOJAPROTEIN PRIGREVICA / LUČIĆ PRIGREVICA,Prigrevica,8027951,237,10,Vuka Karadžića 21,Capital Market,2010,1950,2247927,41475,Nikola Popović,"98,04%",Contract terminated,15.August 2002.,Nikola Basarić,,,,,,,137886,,,18908729,
966,PROLETER,Bačka Topola,8177082,9,-,Senćanski put 9,Capital Market,,,,,Oskar Njilaš,"70,00%",Contract terminated,09.August 2002.,Oskar Njilaš,,,,,,,,,,,
967,CITY CENTRE,Kraljevo,7191251,-,-,Omladinska 11,,,,,,,,,,,,,,,,,,,,,
970,HLADNjAČA,Lajkovac,17184890,120,6,Milovana Glišića bb,Bankruptcy,,1974,,,,,,,,,,,,,,,,,,
979,MINEL ELVO,Beograd,7071426,139,15,Tošin bunar 268,Capital Market,2010,1979,215365,0,Srđan Bukvić,"51,40%",Contract terminated,08.August 2003.,Aleksandar Gajev,,,,,,,12890,,,,
980,VHDP HIDROGRADNjA I EROZIJA,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,
